                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1207,                 4.4412,                 1.5512,                      0,                      0,                      0,                      0,                 1.2154,                 4.6353,                 1.5615,               9.52e-06,               9.52e-06,               9.52e-06
                      1,                0.88236,                 4.3806,                 1.2855,                      0,                      0,                      0,                      0,                 1.0369,                  4.517,                 1.3638,             2.3329e-05,             2.3329e-05,             2.3329e-05
                      2,                0.81318,                 4.2346,                 1.2079,                      0,                      0,                      0,                      0,                0.90455,                 4.3535,                 1.2578,             3.6572e-05,             3.6572e-05,             3.6572e-05
                      3,                0.73589,                  4.041,                 1.1278,                      0,                      0,                      0,                      0,                0.92966,                 4.2665,                  1.247,              4.925e-05,              4.925e-05,              4.925e-05
                      4,                0.62948,                 3.8986,                 1.0878,                      0,                      0,                      0,                      0,                0.69546,                 4.2397,                 1.0862,             6.1362e-05,             6.1362e-05,             6.1362e-05
                      5,                0.63015,                 3.7296,                 1.1181,                      0,                      0,                      0,                      0,                0.55955,                 4.1848,                 1.0006,             7.2909e-05,             7.2909e-05,             7.2909e-05
                      6,                0.59772,                 3.5067,                 1.0834,                 0.4881,                   0.55,                0.39266,                0.32195,                0.55695,                 4.1005,                0.97885,              8.389e-05,              8.389e-05,              8.389e-05
                      7,                0.55323,                 3.1573,                 1.0486,                0.46865,                   0.85,                0.50804,                0.43352,                 0.5052,                 4.0429,                0.95775,             9.4306e-05,             9.4306e-05,             9.4306e-05
                      8,                0.64239,                 2.9882,                 1.0991,                0.43561,                      1,                0.61969,                0.52189,                0.50041,                 3.9184,                0.96348,             0.00010416,             0.00010416,             0.00010416
                      9,                0.66821,                 3.0119,                 1.1593,                0.41246,                      1,                0.60709,                0.52078,                0.49792,                 3.8246,                0.95731,             0.00011344,             0.00011344,             0.00011344
                     10,                0.58452,                 2.6625,                 1.0867,                0.36218,                      1,                0.56785,                 0.4934,                0.48764,                 3.6218,                0.92081,             0.00012216,             0.00012216,             0.00012216
                     11,                 0.6746,                 2.4707,                 1.1812,                0.32564,                      1,                0.55279,                0.48852,                 0.4755,                 3.5032,                0.90166,             0.00013031,             0.00013031,             0.00013031
                     12,                0.65171,                 2.4522,                 1.0931,                0.25721,                      1,                0.62519,                0.54986,                0.49429,                  3.279,                0.88325,              0.0001379,              0.0001379,              0.0001379
                     13,                0.62552,                 2.1373,                 1.0954,                0.22367,                      1,                  0.649,                0.57252,                0.50362,                 3.1437,                0.89066,             0.00014493,             0.00014493,             0.00014493
                     14,                0.64306,                 2.0913,                 1.1455,                0.22333,                      1,                 0.6655,                0.57576,                 0.5098,                 2.9221,                0.88603,             0.00015138,             0.00015138,             0.00015138
                     15,                0.69861,                 2.0917,                 1.1704,                0.23625,                      1,                0.66108,                0.58946,                0.47605,                 2.8051,                0.86477,             0.00015728,             0.00015728,             0.00015728
                     16,                 0.6741,                 1.9224,                 1.0696,                0.44531,                      1,                 0.7317,                0.68272,                0.45099,                  2.725,                0.85862,              0.0001626,              0.0001626,              0.0001626
                     17,                0.52587,                 1.8005,                 1.0154,                0.49873,                      1,                0.77813,                0.72734,                0.43762,                 2.6626,                 0.8665,             0.00016736,             0.00016736,             0.00016736
                     18,                0.58472,                 1.7743,                 1.0722,                0.66376,                      1,                0.81575,                0.76067,                0.44473,                  2.554,                0.86641,             0.00017156,             0.00017156,             0.00017156
                     19,                0.60267,                 1.7019,                 1.0983,                 0.6599,                  0.925,                0.86676,                0.80319,                0.44273,                 2.3655,                0.85081,             0.00017519,             0.00017519,             0.00017519
                     20,                0.51285,                 1.5389,                0.97271,                0.74961,                0.78054,                0.89955,                0.84146,                0.44823,                  2.166,                0.85078,             0.00017825,             0.00017825,             0.00017825
                     21,                0.45872,                 1.4058,                0.97954,                0.79351,                0.80146,                 0.9479,                0.88405,                0.43807,                 1.9991,                0.84637,             0.00018075,             0.00018075,             0.00018075
                     22,                0.46923,                 1.4871,                0.98537,                0.79545,                  0.875,                0.96665,                0.90879,                0.43652,                 1.9292,                0.84362,             0.00018268,             0.00018268,             0.00018268
                     23,                 0.4957,                 1.3822,                 1.0002,                0.81126,                  0.925,                0.98145,                 0.9177,                0.42752,                 1.9202,                0.83491,             0.00018405,             0.00018405,             0.00018405
                     24,                 0.5071,                 1.5146,                 1.0124,                0.86444,                 0.9342,                0.98661,                0.91514,                0.41681,                  1.918,                0.82857,             0.00018486,             0.00018486,             0.00018486
                     25,                0.57017,                 1.3565,                  1.026,                0.94991,                0.93476,                0.99381,                0.91502,                0.42442,                 1.7998,                0.83247,             0.00018509,             0.00018509,             0.00018509
                     26,                0.54327,                 1.2871,                 1.0625,                 0.9557,                0.97668,                  0.995,                0.92475,                0.42674,                 1.6434,                 0.8367,             0.00018476,             0.00018476,             0.00018476
                     27,                0.47283,                 1.2875,                0.96268,                0.97368,                0.98018,                  0.995,                0.92323,                0.43766,                 1.4056,                0.84552,             0.00018387,             0.00018387,             0.00018387
                     28,                 0.4939,                 1.2504,                0.96597,                0.97368,                0.98018,                  0.995,                0.92323,                0.43766,                 1.4056,                0.84552,             0.00018241,             0.00018241,             0.00018241
